BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;I12_opp_woningen;I13_opp_utiliteit;Uitgesloten;Woning_H01_Vraag_Totaal;Woning_H02_Vraag_Ruimteverwarming;Woning_H03_Vraag_Tapwater;Woning_H04_Vraag_Ventilatie;Woning_H05_Vraag_Koude;Woning_H06_Vraag_Apparaten;Woning_H07_Vraag_perhectare;Woning_H08_Input_Totaal;Woning_H09_Input_Aardgas;Woning_H10_Input_Duurzaamgas;Woning_H11_Input_Elektriciteit;Woning_H12_Input_MTwarmte;Woning_H13_Input_LTwarmte;Woning_H14_Saldo_Omgevingswarmte;Woning_H19_Waarde_hernieuwbaar_gas;Woning_H21_CapaciteitsvraagE;Woning_A01_Aansl_aardgas;Woning_A02_Aansl_eWP;Woning_A03_Aansl_MT;Woning_A04_Aansl_LT;Woning_A05_Aansl_hWP_HG;Woning_A06_Aansl_HR_HG;Woning_A10_Aansl_LT_WKO;Woning_A11_Aansl_LT_LT15_30;Woning_A12_Aansl_LT_LT15_50;Woning_A13_Aansl_LT_LT15_70;Woning_A14_Aansl_LT_LT30_30;Woning_A15_Aansl_LT_LT30_50;Woning_A16_Aansl_LT_LT30_70;Woning_A17_Aansl_LT_TEO;Woning_A18_Aansl_LT_BuurtWKO;Woning_A19_Aansl_MT_Restwarmte;Woning_A20_Aansl_MT_Geothermie;Woning_A21_Aansl_MT_WijkWKK;Woning_A22_Aansl_MT_BioWKK;Woning_A23_Aansl_H2;Woning_A30_Aansl_LabelA;Woning_A31_Aansl_LabelB;Woning_A32_Aansl_LabelC;Woning_A33_Aansl_LabelD;Woning_A34_Aansl_LabelE;Woning_A35_Aansl_LabelF;Util_H01_Vraag_Totaal;Util_H02_Vraag_Ruimteverwarming;Util_H03_Vraag_Tapwater;Util_H04_Vraag_Ventilatie;Util_H05_Vraag_Koude;Util_H06_Vraag_Apparaten;Util_H07_Vraag_perhectare;Util_H08_Input_Totaal;Util_H09_Input_Aardgas;Util_H10_Input_Duurzaamgas;Util_H11_Input_Elektriciteit;Util_H12_Input_MTwarmte;Util_H13_Input_LTwarmte;Util_H14_Saldo_Omgevingswarmte;Util_H19_Waarde_hernieuwbaar_gas;Util_H21_CapaciteitsvraagE;Util_A01_Aansl_aardgas;Util_A02_Aansl_eWP;Util_A03_Aansl_MT;Util_A04_Aansl_LT;Util_A05_Aansl_hWP_HG;Util_A06_Aansl_HR_HG;Util_A10_Aansl_LT_WKO;Util_A11_Aansl_LT_LT15_30;Util_A12_Aansl_LT_LT15_50;Util_A13_Aansl_LT_LT15_70;Util_A14_Aansl_LT_LT30_30;Util_A15_Aansl_LT_LT30_50;Util_A16_Aansl_LT_LT30_70;Util_A17_Aansl_LT_TEO;Util_A18_Aansl_LT_BuurtWKO;Util_A19_Aansl_MT_Restwarmte;Util_A20_Aansl_MT_Geothermie;Util_A21_Aansl_MT_WijkWKK;Util_A22_Aansl_MT_BioWKK;Util_A23_Aansl_H2;Util_A30_Aansl_LabelA;Util_A31_Aansl_LabelB;Util_A32_Aansl_LabelC;Util_A33_Aansl_LabelD;Util_A34_Aansl_LabelE;Util_A35_Aansl_LabelF;H15_CO2_uitstoot;H16_Nat_meerkost;H17_Nat_meerkost_CO2;H18_Nat_meerkost_WEQ;nr_OrgEntity
BU03631000;BU03631000;Coenhaven/Mercuriushaven;WK036310;Westelijk Havengebied;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;11666;280;15470;968355;494402.9;False;291139;130395;44344;1;0;116400;1212;291139;0;0;164543;0;0;126596;0;6;0;11666;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11662;4;0;0;0;0;335027;70148;2746;0;61551;200582;506;335027;0;0;237910;0;0;97117;0;6612;0;280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;229;0;0;0;0;0;17081783;3536;17081783;126
BU03631001;BU03631001;Alfa-driehoek;WK036310;Westelijk Havengebied;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;1390;56;1942;115304;71703.3;False;34693;15534;5291;0;0;13869;513;34693;0;0;19609;0;0;15085;0;3;0;1390;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1388;2;0;0;0;0;54497;15882;535;0;9940;28140;404;54497;0;0;35553;0;0;18944;0;1790;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;48;0;0;0;0;0;1924125;1436;1924125;127
BU03631100;BU03631100;Sloterdijk II;WK036311;Bedrijventerrein Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;8;85;1106;688;142644.35;False;274;138;60;4;0;73;4;274;0;1769;10288;6544;0;-18327;0;12;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;8;0;0;0;0;108501;26444;703;0;19269;62085;587;108501;0;1769;68696;6544;0;31492;0;2744;0;66;18;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;5;80;0;0;0;0;0;647429;322;647429;134
BU03631105;BU03631105;Teleport;WK036311;Bedrijventerrein Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;3542;447;8520;274029;647025.4;False;87186;37608;15288;0;0;34290;619;87186;0;33443;176009;123740;0;-246005;0;908;0;1558;339;0;0;0;0;0;0;0;0;0;0;0;0;339;0;0;0;0;2937;247;0;0;0;0;487556;145063;5555;0;92620;244318;1763;487556;0;33443;291837;123740;0;38536;0;18107;0;197;247;0;0;0;0;0;0;0;0;0;0;0;0;247;0;0;0;0;6;441;0;0;0;0;0;4748105;367;4748105;138
BU03631200;BU03631200;Houthavens West;WK036312;Houthavens;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;1265;65;1816;131503;71606;False;32549;12256;9739;0;0;10555;730;32549;0;1365;20607;5049;0;5529;0;1898;0;1075;190;0;0;0;0;0;0;0;0;0;0;0;0;190;0;0;0;0;0;956;0;0;0;0;41443;8141;701;0;8756;23845;293;41443;0;1365;29600;5049;0;5430;0;1799;0;55;9;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;5;60;0;0;0;0;0;589175;273;589175;141
BU03631305;BU03631305;Spaarndammerbuurt Noordwest;WK036313;Spaarndammer- en Zeeheldenbuurt;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;1074;6;1158;71680;10897;False;30990;13354;8206;514;0;8916;1808;30990;0;0;16665;0;0;14325;0;1611;0;1074;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1074;0;0;0;0;7214;2791;388;0;2861;1173;267;7214;0;0;2888;0;0;4325;0;311;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;1178304;532;1178304;148
BU03631306;BU03631306;Westergasfabriek;WK036313;Spaarndammer- en Zeeheldenbuurt;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;0;40;168;0;21767;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13916;3105;406;0;4128;6278;149;13916;0;0;8410;0;0;5506;0;606;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;39;0;0;0;0;0;148616;264;148616;149
BU03631307;BU03631307;Overbraker Binnenpolder;WK036313;Spaarndammer- en Zeeheldenbuurt;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;991;13;1192;82476;26122.8;False;24817;11135;3793;1;0;9887;236;24817;0;832;13040;3080;0;7864;0;8;0;832;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;986;4;0;0;0;0;17041;2448;155;0;3474;10965;41;17041;0;832;11879;3080;0;1250;0;473;0;11;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;8;0;0;0;0;0;534483;461;534483;150
BU03633600;BU03633600;Woon- en Groengebied Sloterdijk;WK036336;Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;226;14;650;17195;55018;False;6143;2847;1359;19;0;1918;81;6143;0;0;3301;0;0;2842;0;339;0;226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;226;0;0;0;0;41538;10799;608;0;9533;20598;219;41538;0;0;26443;0;0;15095;0;1568;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;429623;366;429623;235
BU03633601;BU03633601;Bedrijventerrein Sloterdijk I;WK036336;Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;4431;103;6553;367984;275782;False;110692;49577;16898;7;0;44209;976;110692;0;0;62550;0;0;48142;0;21;0;4431;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4417;13;0;0;0;0;189406;45330;1797;0;35388;106891;692;189406;0;0;129927;0;0;59480;0;5251;0;103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;91;0;0;0;0;0;3111476;324;3111476;236
